TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
942.383,0.011421,0.182407,942.383,0.011421,0.033846
937.5,0.00571,0.167163,937.5,0.00571,0.037205
932.617,-0.00571,0.156829,932.617,-0.002855,0.033846
927.734,-0.011421,0.153211,927.734,-0.008565,0.024286
922.852,-0.019986,0.14546,922.852,-0.019986,0.024286
917.969,-0.028551,0.132542,917.969,-0.022841,0.025578
913.086,-0.034262,0.126341,913.086,-0.034262,0.016535
908.203,-0.042827,0.123241,908.203,-0.042827,0.01111
903.32,-0.051392,0.109289,903.32,-0.051392,0.015502
898.438,-0.057103,0.101538,898.438,-0.057103,0.010076
893.555,-0.065668,0.100505,893.555,-0.065668,0.00155
888.672,-0.074233,0.091979,888.672,-0.074233,0.004392
883.789,-0.082799,0.081386,883.789,-0.079944,0.005684
878.906,-0.091364,0.078285,878.906,-0.088509,-0.0031
874.023,-0.097074,0.07596,874.023,-0.094219,-0.005684
869.141,-0.10564,0.0633,869.141,-0.10564,-0.002325
864.258,-0.11135,0.057357,864.258,-0.11135,-0.008009
859.375,-0.12277,0.058391,859.375,-0.11706,-0.015502
854.492,-0.128481,0.047539,854.492,-0.128481,-0.010851
849.609,-0.134191,0.04108,849.609,-0.131336,-0.01111
844.727,-0.142756,0.040305,844.727,-0.142756,-0.021186
839.844,-0.154177,0.037205,839.844,-0.151322,-0.019894
834.961,-0.159887,0.02687,834.961,-0.157032,-0.017311
830.078,-0.168452,0.024028,830.078,-0.168452,-0.025062
825.195,-0.177018,0.02532,825.195,-0.174163,-0.029454
820.313,-0.182728,0.014469,820.313,-0.182728,-0.024286
815.43,-0.194149,0.008784,815.43,-0.191293,-0.028162
810.547,-0.199859,0.010851,810.547,-0.197004,-0.035138
805.664,-0.208424,0.006976,805.664,-0.205569,-0.032296
800.781,-0.214135,-0.002325,800.781,-0.214135,-0.029712
795.898,-0.2227,-0.002584,795.898,-0.2227,-0.037722
791.016,-0.231265,-0.002067,791.016,-0.22841,-0.040564
786.133,-0.239831,-0.011627,786.133,-0.236976,-0.03488
781.25,-0.245541,-0.015244,781.25,-0.245541,-0.040047
776.367,-0.251251,-0.011885,776.367,-0.251251,-0.046248
771.484,-0.259817,-0.018344,771.484,-0.259817,-0.041597
766.602,-0.268382,-0.024286,766.602,-0.265527,-0.040822
761.719,-0.276947,-0.022995,761.719,-0.276947,-0.048831
756.836,-0.285513,-0.022478,756.836,-0.285513,-0.048056
751.953,-0.294078,-0.031521,751.953,-0.291223,-0.044439
747.07,-0.299788,-0.033329,747.07,-0.299788,-0.050123
742.188,-0.305499,-0.028937,742.188,-0.305499,-0.055549
737.305,-0.316919,-0.037463,737.305,-0.316919,-0.049606
732.422,-0.322629,-0.040047,732.422,-0.319774,-0.051415
727.539,-0.331195,-0.037205,727.539,-0.331195,-0.059166
722.656,-0.33976,-0.039788,722.656,-0.336905,-0.055807
717.773,-0.348325,-0.045989,717.773,-0.34547,-0.052707
712.891,-0.354036,-0.045473,712.891,-0.351181,-0.059683
708.008,-0.362601,-0.043147,708.008,-0.359746,-0.0633
703.125,-0.371166,-0.051932,703.125,-0.365456,-0.056582
698.242,-0.376877,-0.054257,698.242,-0.376877,-0.060716
693.359,-0.382587,-0.049865,693.359,-0.382587,-0.066659
688.477,-0.394008,-0.054774,688.477,-0.391152,-0.062008
683.594,-0.399718,-0.059166,683.594,-0.396863,-0.059683
678.711,-0.408283,-0.057099,678.711,-0.408283,-0.066917
673.828,-0.413993,-0.05529,673.828,-0.413993,-0.0664
668.945,-0.422559,-0.063558,668.945,-0.422559,-0.062783
664.063,-0.431124,-0.064592,664.063,-0.433979,-0.067434
659.18,-0.43969,-0.059166,659.18,-0.436834,-0.072859
654.297,-0.448255,-0.067175,654.297,-0.4454,-0.0664
649.414,-0.453965,-0.069501,649.414,-0.453965,-0.0664
644.531,-0.465386,-0.065884,644.531,-0.459675,-0.074668
639.648,-0.471096,-0.065884,639.648,-0.468241,-0.071826
634.766,-0.479661,-0.072859,634.766,-0.476806,-0.067434
629.883,-0.485372,-0.073118,629.883,-0.485372,-0.073635
625,-0.493937,-0.06795,625,-0.491082,-0.07751
620.117,-0.499647,-0.075443,620.117,-0.499647,-0.070792
615.234,-0.508213,-0.07751,615.234,-0.508213,-0.073376
610.352,-0.516778,-0.072601,610.352,-0.516778,-0.079835
605.469,-0.525343,-0.075443,605.469,-0.525343,-0.075701
600.586,-0.531054,-0.08061,600.586,-0.531054,-0.072084
595.703,-0.539619,-0.077768,595.703,-0.539619,-0.079319
590.82,-0.551039,-0.075185,590.82,-0.548184,-0.080352
585.938,-0.55675,-0.082936,585.938,-0.553895,-0.074668
581.055,-0.565315,-0.083452,581.055,-0.565315,-0.078802
576.172,-0.571025,-0.077768,576.172,-0.571025,-0.084228
571.289,-0.579591,-0.082936,571.289,-0.576736,-0.078027
566.406,-0.588156,-0.086036,566.406,-0.585301,-0.07751
561.523,-0.593866,-0.082677,561.523,-0.591011,-0.085003
556.641,-0.602432,-0.081127,556.641,-0.599577,-0.082936
551.758,-0.610997,-0.088103,551.758,-0.605287,-0.078543
546.875,-0.616707,-0.08707,546.875,-0.616707,-0.083969
541.992,-0.622418,-0.081902,541.992,-0.622418,-0.087845
537.109,-0.633838,-0.088878,537.109,-0.630983,-0.081386
532.227,-0.639548,-0.091203,532.227,-0.639548,-0.083194
527.344,-0.648114,-0.085519,527.344,-0.648114,-0.088878
522.461,-0.656679,-0.085778,522.461,-0.656679,-0.085519
517.578,-0.662389,-0.091979,517.578,-0.662389,-0.081644
512.695,-0.67381,-0.089395,512.695,-0.67381,-0.088361
507.813,-0.67952,-0.086294,507.813,-0.682375,-0.090687
502.93,-0.688086,-0.09327,502.93,-0.688086,-0.083452
498.047,-0.696651,-0.094562,498.047,-0.693796,-0.087328
493.164,-0.702361,-0.089137,493.164,-0.702361,-0.09327
488.281,-0.710927,-0.093787,488.281,-0.710927,-0.086811
483.398,-0.719492,-0.096371,483.398,-0.719492,-0.085003
478.516,-0.725202,-0.092754,478.516,-0.725202,-0.091979
473.633,-0.733768,-0.089912,473.633,-0.733768,-0.09172
468.75,-0.739478,-0.097146,468.75,-0.739478,-0.086553
463.867,-0.750898,-0.096888,463.867,-0.750898,-0.090687
458.984,-0.753753,-0.091203,458.984,-0.756609,-0.095596
454.102,-0.765174,-0.097663,454.102,-0.765174,-0.088878
449.219,-0.770884,-0.099471,449.219,-0.770884,-0.089395
444.336,-0.77945,-0.095337,444.336,-0.782305,-0.096112
439.453,-0.78516,-0.094821,439.453,-0.788015,-0.092754
434.57,-0.79658,-0.099988,434.57,-0.79658,-0.088361
429.688,-0.805146,-0.098696,429.688,-0.805146,-0.094304
424.805,-0.810856,-0.094562,424.805,-0.810856,-0.096888
419.922,-0.819421,-0.10128,419.922,-0.819421,-0.09017
415.039,-0.825132,-0.102313,415.039,-0.827987,-0.09327
410.156,-0.833697,-0.096888,410.156,-0.836552,-0.099213
405.273,-0.842262,-0.098954,405.273,-0.842262,-0.094045
400.391,-0.847973,-0.103605,400.391,-0.845118,-0.090945
395.508,-0.856538,-0.099988,395.508,-0.859393,-0.098179
390.625,-0.865103,-0.096888,390.625,-0.867959,-0.097663
385.742,-0.873669,-0.103347,385.742,-0.873669,-0.092237
380.859,-0.882234,-0.103863,380.859,-0.882234,-0.096112
375.977,-0.8908,-0.097404,375.977,-0.8908,-0.10128
371.094,-0.899365,-0.103347,371.094,-0.89651,-0.095079
366.211,-0.905075,-0.105414,366.211,-0.90222,-0.093787
361.328,-0.913641,-0.100763,361.328,-0.913641,-0.10128
356.445,-0.922206,-0.099213,356.445,-0.919351,-0.098438
351.563,-0.927916,-0.105414,351.563,-0.927916,-0.094045
346.68,-0.939337,-0.103863,346.68,-0.936482,-0.099471
341.797,-0.945047,-0.098954,341.797,-0.945047,-0.102572
336.914,-0.950757,-0.105155,336.914,-0.947902,-0.095854
332.031,-0.959323,-0.107222,332.031,-0.959323,-0.098438
327.148,-0.965033,-0.101538,327.148,-0.965033,-0.103863
322.266,-0.976453,-0.102313,322.266,-0.973598,-0.09973
317.383,-0.979308,-0.107481,317.383,-0.979308,-0.095854
312.5,-0.990729,-0.104122,312.5,-0.990729,-0.102313
